geoid,county,state,betweenScore
48201,Harris,Texas,618991.3114675832
17031,Cook,Illinois,469261.90227160475
48113,Dallas,Texas,302108.41620854917
06037,Los Angeles,California,271044.69264214433
04013,Maricopa,Arizona,255406.31250401656
13121,Fulton,Georgia,245489.3273637567
27053,Hennepin,Minnesota,243889.28155343822
48439,Tarrant,Texas,224589.6642868533
47157,Shelby,Tennessee,203442.9007486858
37119,Mecklenburg,North Carolina,192974.112975748
31055,Douglas,Nebraska,184708.0751893198
21111,Jefferson,Kentucky,184125.8405263612
29189,St. Louis,Missouri,167356.26406430203
40109,Oklahoma,Oklahoma,148068.1303432664
20091,Johnson,Kansas,145736.21192308856
72127,San Juan Municipio,Puerto Rico,141148.84629483015
47037,Davidson,Tennessee,139208.56881959518
26163,Wayne,Michigan,132514.57518876105
32003,Clark,Nevada,132362.78205398162
19153,Polk,Iowa,130976.79632706202
18097,Marion,Indiana,130502.83658783871
53033,King,Washington,130403.33182301356
48029,Bexar,Texas,126632.57608110129
49035,Salt Lake,Utah,118787.35759123744
29095,Jackson,Missouri,117095.47355514047
51059,Fairfax,Virginia,116481.47198212415
12086,Miami-Dade,Florida,114348.36255705952
39035,Cuyahoga,Ohio,113340.59599338834
08031,Denver,Colorado,112296.46249229135
39049,Franklin,Ohio,109744.80642173676
31109,Lancaster,Nebraska,106139.31155545084
42003,Allegheny,Pennsylvania,103401.18795278217
11001,District of Columbia,District of Columbia,99585.39686058689
20173,Sedgwick,Kansas,97681.7204124601
12095,Orange,Florida,97651.87416017191
13135,Gwinnett,Georgia,92881.81112045156
40143,Tulsa,Oklahoma,90185.22035698772
01073,Jefferson,Alabama,86691.7532094048
37183,Wake,North Carolina,85871.21411765926
48085,Collin,Texas,85702.9479291497
36061,New York,New York,82473.84169330882
39061,Hamilton,Ohio,82435.33636365898
12031,Duval,Florida,82180.5143675886
13089,DeKalb,Georgia,81049.86350450969
42101,Philadelphia,Pennsylvania,80851.91377054206
48453,Travis,Texas,80578.70993223829
13067,Cobb,Georgia,79545.75507571615
08041,El Paso,Colorado,78139.4475385549
05119,Pulaski,Arkansas,78085.0175763773
47093,Knox,Tennessee,78036.39012461947
06073,San Diego,California,77348.95102195127
36047,Kings,New York,75238.48310734781
21067,Fayette,Kentucky,72010.19013867246
38017,Cass,North Dakota,71954.01102637559
46099,Minnehaha,South Dakota,71378.58967172798
12057,Hillsborough,Florida,71077.51408039895
06059,Orange,California,69011.34657077376
26125,Oakland,Michigan,68193.88003169365
22033,East Baton Rouge Parish,Louisiana,63308.92314230039
24031,Montgomery,Maryland,62038.4499288023
55079,Milwaukee,Wisconsin,61762.4607673487
17043,DuPage,Illinois,60359.9043695968
12011,Broward,Florida,59946.507595651026
41051,Multnomah,Oregon,58464.78101958213
27037,Dakota,Minnesota,56540.429497425896
30111,Yellowstone,Montana,55514.84810759062
47065,Hamilton,Tennessee,55295.27726672335
08005,Arapahoe,Colorado,53335.285489022746
29510,St. Louis city,Missouri,53215.32980064019
29077,Greene,Missouri,52229.029538796334
22071,Orleans Parish,Louisiana,51518.79228369168
72021,Bayam??unicipio,Puerto Rico,50159.21847071891
48121,Denton,Texas,49339.94679813441
02020,Anchorage Municipality,Alaska,48445.498399848526
27123,Ramsey,Minnesota,48041.41933235005
17097,Lake,Illinois,47401.66168113567
38015,Burleigh,North Dakota,46268.98848880528
16001,Ada,Idaho,46008.027387603026
25017,Middlesex,Massachusetts,45780.15626930558
37081,Guilford,North Carolina,45163.128606553895
05007,Benton,Arkansas,44146.63596520143
08059,Jefferson,Colorado,44063.668078677045
48141,El Paso,Texas,43603.98636913488
55025,Dane,Wisconsin,42729.788141548
12099,Palm Beach,Florida,41090.648654631164
45045,Greenville,South Carolina,41017.82039014097
36081,Queens,New York,40884.65235578244
01097,Mobile,Alabama,40034.01838845561
42091,Montgomery,Pennsylvania,39528.42546368313
35001,Bernalillo,New Mexico,37606.28640646646
28049,Hinds,Mississippi,37054.22232915832
72031,Carolina Municipio,Puerto Rico,36573.237401071965
08123,Weld,Colorado,35887.46334256315
46103,Pennington,South Dakota,35834.81784028923
08001,Adams,Colorado,35785.280335794254
34003,Bergen,New Jersey,35455.157814667415
39113,Montgomery,Ohio,35364.81666363383
24033,Prince George's,Maryland,35262.12588372642
13051,Chatham,Georgia,34858.72176053412
45079,Richland,South Carolina,34170.75780592927
48303,Lubbock,Texas,33741.10435393458
01089,Madison,Alabama,33709.16083756976
31153,Sarpy,Nebraska,32674.422368168525
06067,Sacramento,California,32443.78641491531
30031,Gallatin,Montana,32140.030221090645
54039,Kanawha,West Virginia,31608.03210332271
49049,Utah,Utah,31386.82034619746
45019,Charleston,South Carolina,30871.909040151662
04019,Pima,Arizona,30645.74547353408
06065,Riverside,California,30394.035260527293
51760,Richmond city,Virginia,29756.533046455123
51087,Henrico,Virginia,29622.673464015956
12103,Pinellas,Florida,29499.608925593937
51041,Chesterfield,Virginia,29331.245817382438
55009,Brown,Wisconsin,29279.265263071327
08069,Larimer,Colorado,28979.283492867882
48339,Montgomery,Texas,28731.07195995053
48375,Potter,Texas,28695.754026673334
51810,Virginia Beach city,Virginia,28666.004675391632
24003,Anne Arundel,Maryland,28441.088646386146
06071,San Bernardino,California,28240.961244819344
53053,Pierce,Washington,27588.86575380099
22051,Jefferson Parish,Louisiana,27346.65509556934
47187,Williamson,Tennessee,27285.278037246702
05143,Washington,Arkansas,27281.407789179484
38105,Williams,North Dakota,27014.70269959463
17197,Will,Illinois,26791.692286056288
18089,Lake,Indiana,26714.777370821907
09001,Fairfield,Connecticut,26576.688272662228
06085,Santa Clara,California,26524.823606353748
53063,Spokane,Washington,26378.364602508533
20177,Shawnee,Kansas,25859.48538985037
37051,Cumberland,North Carolina,25214.117632273083
29183,St. Charles,Missouri,25045.633234583995
48491,Williamson,Texas,24995.978340200087
26081,Kent,Michigan,24848.967894980495
19113,Linn,Iowa,24707.924871967472
25025,Suffolk,Massachusetts,24597.141836139814
12071,Lee,Florida,24219.708136796005
32031,Washoe,Nevada,24128.65922157397
01101,Montgomery,Alabama,23657.366432173676
17089,Kane,Illinois,23617.40880340732
27145,Stearns,Minnesota,23259.89433108299
29047,Clay,Missouri,23097.17458987315
48157,Fort Bend,Texas,22988.98127943123
30063,Missoula,Montana,22945.78836491282
13021,Bibb,Georgia,22875.83875757376
18003,Allen,Indiana,22633.67243282763
06001,Alameda,California,22503.365401358624
47163,Sullivan,Tennessee,22454.18045200922
24510,Baltimore city,Maryland,22445.45806213962
37067,Forsyth,North Carolina,22442.981918481953
38101,Ward,North Dakota,22396.478790766418
41067,Washington,Oregon,22325.90686058296
21145,McCracken,Kentucky,22322.523694897995
39153,Summit,Ohio,21802.95148298001
36059,Nassau,New York,21760.27750453297
37063,Durham,North Carolina,21540.919914272235
24005,Baltimore,Maryland,21416.369085392165
51153,Prince William,Virginia,21143.183952344905
48215,Hidalgo,Texas,20876.892853265184
18057,Hamilton,Indiana,20848.37963839079
27003,Anoka,Minnesota,20746.647321572585
19169,Story,Iowa,20312.301019091152
18163,Vanderburgh,Indiana,20303.418284140887
13063,Clayton,Georgia,19942.16679273849
36029,Erie,New York,19779.88283224728
51710,Norfolk city,Virginia,19743.182104042895
08013,Boulder,Colorado,19658.274046671293
48355,Nueces,Texas,19500.316076371862
21227,Warren,Kentucky,19366.51021379308
30013,Cascade,Montana,19197.830133676074
26099,Macomb,Michigan,19197.76617739847
48329,Midland,Texas,19106.78689083704
51013,Arlington,Virginia,19086.951642558797
53011,Clark,Washington,18899.275341470882
12073,Leon,Florida,18835.45462888276
31111,Lincoln,Nebraska,18830.62669400293
51107,Loudoun,Virginia,18810.4034892646
41005,Clackamas,Oregon,18746.130824806616
48027,Bell,Texas,18412.899097638125
06075,San Francisco,California,18215.694326967263
48381,Randall,Texas,18116.22037996593
42125,Washington,Pennsylvania,18115.941466685148
27171,Wright,Minnesota,18108.992191037276
20209,Wyandotte,Kansas,18089.63259221577
13245,Richmond,Georgia,17976.424689694304
47149,Rutherford,Tennessee,17878.577568833487
45063,Lexington,South Carolina,17806.337155661557
12033,Escambia,Florida,17783.808054833906
72113,Ponce Municipio,Puerto Rico,17660.596561918763
29019,Boone,Missouri,17552.251268792697
30029,Flathead,Montana,17544.574866636834
28121,Rankin,Mississippi,17520.699926546175
31019,Buffalo,Nebraska,17371.805809166835
55133,Waukesha,Wisconsin,17365.81361210921
53061,Snohomish,Washington,17312.37445468281
56021,Laramie,Wyoming,17295.5013843696
72137,Toa Baja Municipio,Puerto Rico,17200.428228295823
13215,Muscogee,Georgia,17106.453434716255
01069,Houston,Alabama,17091.46842060886
36103,Suffolk,New York,17077.97869778878
48167,Galveston,Texas,17059.80172727618
